Food;Day;Time;Target
Sopa de verduras en juliana con fideos. Calabacines o berenjenas rellenas de carne o pescado y verduras. Fruta;Martes;Cena;normal
Leche. Pan integral untado con tomate, aceite de oliva y jamon serrano. Zumo de fruta;Miercoles;Desayuno;normal
Ensalada variada. Cocido (sopa con pasta, garbanzos o alubias, verduras y trocitos de carne). Fruta;Miercoles;Comida;normal
Pan integral con embutido;Miercoles;Merienda;normal
Crema de verduras. Sepia a la plancha con flan de arroz. Fruta;Miercoles;Cena;normal
Zumo de fruta. Pan integral con jamon york y queso fresco;Jueves;Desayuno;normal
Arroz con champiñones, tomate y queso gratinado. Hamburguesa de salmon con lechuga. Fruta;Jueves;Comida;normal
Cuajada. Frutos secos;Jueves;Merienda;normal
Tortilla de patata o verduras con ensalada. Fruta fresca;Jueves;Cena;normal
Leche. Galletas. Fruta;Viernes;Desayuno;normal
Legumbre con verduras. Pollo o pavo al horno con ensalada. Fruta;Viernes;Comida;normal
Fruta fresca. Galletas;Viernes;Merienda;normal
Crema de verduras. Crepes de jamon y queso. Yogur;Viernes;Cena;normal
Yogur. Pan con requeson, miel y nueces. Fruta;Sabado;Desayuno;normal
Pure de verduras. Carne estofada con patatas y verduras. Fruta;Sabado;Comida;normal
Pan integral con queso. Zumo;Sabado;Merienda;normal
Pescado al horno con patatas panadera y tomatitos. Yogur;Sabado;Cena;normal
Leche. Bizcocho casero con trocitos de frutas. Zumo de fruta;Domingo;Desayuno;normal
Ensalada variada. Canelones de atun. Fruta;Domingo;Comida;normal
Yogur y fruta;Domingo;M erienda;normal
Verdura con patata. Tortilla de espinacas y gambas. Yogur;Domingo;Cena;normal
Leche entera. Copos de maiz. Platano;Lunes;Desayuno;hiper
Fruta con frutos secos;Lunes;Almuerzo;hiper
Arroz con pisto de verduras en salsa de tomate al natural con atun y pipas de calabaza;Lunes;Comida;hiper
Yogur natural con 1 racion de fruta troceada;Lunes;Merienda;hiper
Ensalada de patata hervida, tomate, pepino, huevo duro y queso fresco ali�ada con albahaca fresca y frutos secos;Lunes;Cena;hiper
Kefir. Tostadas de pan integral con queso fresco y aguacate. Un kiwi;Martes;Desayuno;hiper
Bocadillo de atun con aceite;Martes;Almuerzo;hiper
Espirales de pasta integral con lechuga, zanahoria y calabaza hervida en dados y semillas de sesamo por encima. Merluza al horno con champiñones y patata;Martes;Comida;hiper
Yogur natural con cereales sin azucar;Martes;Merienda;hiper
Salteado de verduras al curry con tiras de pollo y cuscus hervido;Martes;Cena;hiper
Bebida vegetal enriquecida en calcio y Vitamina D sin azucares añadidos. Un puñado de frutos secos;Miercoles;Desayuno;hiper
Yogurt natural con fruta fresca;Miercoles;Almuerzo;hiper
Pure de calabaza con patata. Solomillo con acompañamiento de alubias blancas salteadas con cebolla;Miercoles;Comida;hiper
Yogur natural con un puñado de frutos secos;Miercoles;Merienda;hiper
Berenjena y calabac�n asado con pimenton dulce. Tortilla con queso. Pan integral;Miercoles;Cena;hiper
Leche entera. Copos de avena. Bol de fresas;Jueves;Desayuno;hiper
Fruta con frutos secos;Jueves;Almuerzo;hiper
Guiso de garbanzos con verduras y pan integral;Jueves;Comida;hiper
Tapioca con canela;Jueves;Merienda;hiper
Ensalada variada (arroz integral, nueces, tomate, lechuga, rabanos y brocoli hervido). Rape al horno con salsa de tomate, con ajo y perejil;Jueves;Cena;hiper
Kefir. Tostadas de pan integral con pavo. Una manzana;Viernes;Desayuno;hiper
Sandwich de tortilla francesa;Viernes;Almuerzo;hiper
Parrillada de verduras tomate, cebolla, pimiento rojo y boniato al horno. Salmon al horno o a la plancha;Viernes;Comida;hiper
Yogur natural con 1 racion de fruta troceada;Viernes;Merienda;hiper
Pure de zanahoria. Revuelto de huevos con esparragos trigueros. Pan integral;Viernes;Cena;hiper
Leche entera. Copos de quinoa. Bol de arandanos;Sabado;Desayuno;hiper
Fruta con frutos secos;Sabado;Almuerzo;hiper
Berenjenas rellenas de pollo con acompañamiento de patatas panaderas con oregano;Sabado;Comida;hiper
Tostada de pan integral con jamon dulce;Sabado;Merienda;hiper
Pure de calabaza con patata. Lubina a la plancha con ajo y perejil acompañado de arroz integral al curry;Sabado;Cena;hiper
Bebida vegetal enriquecida en calcio y Vitamina D sin azucares añadidos. Dos kiwis;Domingo;Desayuno;hiper
Yogurt natural con frutos secos;Domingo;Almuerzo;hiper
Guisantes con cebolla. Muslo de pollo y boniato al horno con especias. Pan integral;Domingo;Comida;hiper
Yogur natural con cereales sin azucar;Domingo;Merienda;hiper
Menestra de verduras (alcachofas brocoli, zanahoria, cebolla y guisantes) con patata en dados hervida. Gambas salteadas con ajo y perejil;Domingo;Cena;hiper
